username,email,password
KamenRiderZangetsu0.8036737149508169,0.14002307675424996@email.com,user123
KamenRiderZangetsu0.8818129391962644,0.778424045454543@email.com,user123
KamenRiderZangetsu0.5387527425140118,0.3374358200023369@email.com,user123
KamenRiderZangetsu0.4600664488982678,0.8922758024851942@email.com,user123
KamenRiderZangetsu0.0038730271768012414,0.34529247660592327@email.com,user123
KamenRiderZangetsu0.0931152563085883,0.7685005810768848@email.com,user123
KamenRiderZangetsu0.5362035043211569,0.8327394729500943@email.com,user123
KamenRiderZangetsu0.2364157573905019,0.42469843787564243@email.com,user123
KamenRiderZangetsu0.8391524197946502,0.3537196542430516@email.com,user123
KamenRiderZangetsu0.36595883516770994,0.8449203472513457@email.com,user123
KamenRiderZangetsu0.9994393955525888,0.5815389280274178@email.com,user123
KamenRiderZangetsu0.5062092172389452,0.486464508199539@email.com,user123
KamenRiderZangetsu0.0006911041104497371,0.23092156758929974@email.com,user123
KamenRiderZangetsu0.11495165062704876,0.42712553669392916@email.com,user123
KamenRiderZangetsu0.2727473265989825,0.9083645899290851@email.com,user123
KamenRiderZangetsu0.6740742467996358,0.9434676985883971@email.com,user123
KamenRiderZangetsu0.030954241971525798,0.5420015977922261@email.com,user123
KamenRiderZangetsu0.821789565212278,0.750044509015647@email.com,user123
